name,stage_name,category,gender,location_city,location_country,tags,discovered_via,instagram,ig_followers,tiktok,tiktok_followers,youtube,yt_followers
Bella Poarch,,content_creator,F,Los Angeles,US,"music,comedy,tiktok",tiktok trending,bellapoarch,14500000,bellapoarch,93000000,BellaPoarch,7200000
Gigi Hadid,,model,F,New York,US,"fashion,runway,high-fashion",vogue,gigihadid,79000000,,,,,
Corpse Husband,CORPSE,content_creator,M,,US,"gaming,music,mystery",youtube,,,corpse_husband,25000000,CorpseHusband,7800000
Bella Thorne,,multi,F,Los Angeles,US,"acting,music,content",instagram,bellathorne,25000000,bellathorne,13000000,,
Jessica Nigri,,cosplayer,F,Scottsdale,US,"cosplay,gaming,conventions",comic-con,jessicanigri,4200000,jessicanigri,2100000,JessicaNigri,1100000
Doja Cat,,musician,F,Los Angeles,US,"music,rap,pop,fashion",spotify,dojacat,24000000,dojacat,28000000,DojaCat,19000000
Pokimane,Pokimane,content_creator,F,Los Angeles,US,"gaming,twitch,streaming",twitch,pokimane,6500000,pokimane,9800000,pokimane,6900000
Winnie Harlow,,model,F,Toronto,CA,"fashion,runway,vitiligo,beauty",instagram,winnieharlow,10500000,,,,,
Lil Nas X,,musician,M,Atlanta,US,"music,rap,pop,fashion,lgbtq",tiktok,lilnasx,16500000,lilnasx,17000000,LilNasX,17000000
Stella Chuu,,cosplayer,F,New York,US,"cosplay,anime,conventions,twitch",twitch,stellachuu,460000,stellachuu,1200000,,
Addison Rae,,multi,F,Los Angeles,US,"dance,beauty,acting,tiktok",tiktok,addisonraee,38000000,addisonre,89000000,,
Hailey Bieber,,model,F,Los Angeles,US,"fashion,beauty,skincare",instagram,haileybieber,53000000,haileybieber,5800000,,
Kamilla Osman,,cosplayer,F,Toronto,CA,"cosplay,kim-k,lookalike,content",instagram,kamillaosman,2500000,kamillaosman,8900000,,
Steve Aoki,,musician,M,Las Vegas,US,"edm,dj,nft,gaming",festival,steveaoki,9800000,steveaoki,12000000,SteveAoki,2600000
Bretman Rock,,content_creator,M,Honolulu,US,"beauty,comedy,fashion",youtube,bretmanrock,18000000,bretmanrock,14000000,BretmanRock,8800000
